No,Tháng,Năm,Khách hàng C2,Khách Hàng C1,Tỉnh,Tên hoạt động,Số lượng,Nhóm Sản phẩm,Sản Phẩm,Cây Trồng,SL Nông Dân,Đầu tư,Triển khai
72,Nov,2018,TGG-126,TGG002,Tiền Giang,Demo,1.0,Fungicide,RA,Xoài,5,1592210.0000000002,ST
73,Nov,2018,TGG-126,TGG002,Tiền Giang,Demo,1.0,Fungicide,RA,Xoài,5,1592210.0000000002,ST
74,Nov,2018,TGG-140,TGG002,Tiền Giang,Demo,1.0,Fungicide,RA,Sầu Riêng,5,1592210.0000000002,ST
75,Nov,2018,TGG-140,TGG002,Tiền Giang,Demo,1.0,Fungicide,RA,Sầu Riêng,5,1592210.0000000002,ST
76,Nov,2018,TGG-110,TGG002,Tiền Giang,Demo,1.0,Fungicide,RA,Sầu Riêng,5,1592210.0000000002,ST
77,Nov,2018,TGG-058,TGG001,Tiền Giang,Demo,1.0,Fungicide,RA,Sầu Riêng,5,1592210.0000000002,ST
78,Nov,2018,TGG-154,TGG001,Tiền Giang,Demo,1.0,Fungicide,RA,Sầu Riêng,5,1592210.0000000002,ST
79,Nov,2018,TGG-154,TGG001,Tiền Giang,Demo,1.0,Fungicide,RA,Sầu Riêng,5,1592210.0000000002,ST
80,Nov,2018,TGG-140,TGG001,Tiền Giang,FA,10.0,Fungicide,RA,Sầu Riêng,10,894500.0000000001,ST
81,Nov,2018,TGG-154,TGG001,Tiền Giang,FA,10.0,Fungicide,RA,Sầu Riêng,10,894500.0000000001,ST
82,Nov,2018,TGG-173,TGG012,Tiền Giang,FA,10.0,Fungicide,RA,Rau màu,10,894500.0000000001,ST
83,Nov,2018,TGG-026,TGG012,Tiền Giang,FA,10.0,Fungicide,RA,Sầu Riêng,10,894500.0000000001,ST
84,Nov,2018,TGG-142,TGG004,Tiền Giang,FA,10.0,Fungicide,RA,Dưa hấu,10,894500.0000000001,ST
85,Nov,2018,KGG-206,KGG014,Kiên Giang,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,ST
86,Nov,2018,DTP-084,kgg008,Kiên Giang,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,ST
87,Nov,2018,KGG-240,kgg008,Kiên Giang,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,ST
88,Nov,2018,VLG-036,KGG001,Kiên Giang,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,ST
89,Nov,2018,KGG-228,KGG012,Kiên Giang,Demo,1.0,Fungicide,FY,Lúa,5,1592210.0000000002,ST
90,Nov,2018,KGG-240,kgg008,Kiên Giang,TM,2.0,Fungicide,FY,Lúa,40,6619300.000000001,ST
91,Nov,2018,VLG-036,KGG001,Kiên Giang,TM,2.0,Fungicide,FY,Lúa,40,6619300.000000001,ST
92,Nov,2018,KGG-228,KGG012,Kiên Giang,TM,1.0,Fungicide,FY,Lúa,20,3309650.0000000005,ST
93,Nov,2018,KGG-080,kgg008,Kiên Giang,FA,10.0,Fungicide,FY,Lúa,10,894500.0000000001,ST
94,Nov,2018,KGG-235,KGG001,Kiên Giang,FA,10.0,Fungicide,FY,Lúa,10,894500.0000000001,ST
95,Nov,2018,KGG-014,KGG013,Kiên Giang,FA,10.0,Fungicide,FY,Lúa,10,894500.0000000001,ST
96,Nov,2018,DNI-081,DNI001,Đồng Nai,TM,1.0,Fungicide,HO,Chuối,20,3309650.0000000005,ST
97,Nov,2018,DNI-048,DNI001,Đồng Nai,TM,1.0,Fungicide,HO,Chuối,20,3309650.0000000005,ST
98,Nov,2018,DNI-064,DNI001,Đồng Nai,TM,1.0,Fungicide,HO,Chuối,20,3309650.0000000005,ST
99,Nov,2018,DNI-104,DNI001,Đồng Nai,TM,1.0,Fungicide,HO,Chuối,20,3309650.0000000005,ST
100,Nov,2018,DNI-110,DNI001,Đồng Nai,TM,1.0,Fungicide,HO,Chuối,20,3309650.0000000005,ST
101,Nov,2018,DNI-048,DNI001,Đồng Nai,Demo,2.0,Fungicide,HO,Chuối,10,3184420.0000000005,ST
102,Nov,2018,DNI-064,DNI001,Đồng Nai,Demo,2.0,Fungicide,HO,Chuối,10,3184420.0000000005,ST
103,Nov,2018,DNI-167,DNI001,Đồng Nai,FA,5.0,Fungicide,HO,Chuối,5,447250.00000000006,ST
104,Nov,2018,DNI-081,DNI001,Đồng Nai,FA,5.0,Fungicide,HO,Chuối,5,447250.00000000006,ST
105,Nov,2018,DNI-048,DNI001,Đồng Nai,FA,5.0,Fungicide,HO,Chuối,5,447250.00000000006,ST
106,Nov,2018,DNI-104,DNI001,Đồng Nai,FA,5.0,Fungicide,HO,Chuối,5,447250.00000000006,ST
107,Nov,2018,DNI-110,DNI001,Đồng Nai,FA,10.0,Fungicide,HO,Chuối,10,894500.0000000001,ST
108,Nov,2018,DNI-128,DNI001,Đồng Nai,FA,5.0,Fungicide,HO,Chuối,5,447250.00000000006,ST
109,Nov,2018,TGG-106,TGG012,Tiền Giang,TM,1.0,Fungicide,HO,Dưa hấu,20,3309650.0000000005,ST
110,Nov,2018,TGG-140,TGG002,Tiền Giang,TM,1.0,Fungicide,HO,Sầu Riêng,20,3309650.0000000005,ST
111,Nov,2018,TGG-137,TGG004,Tiền Giang,TM,1.0,Fungicide,FY,Lúa,20,3309650.0000000005,ST
112,Nov,2018,TGG-058,TGG001,Tiền Giang,TM,1.0,Fungicide,HO,Sầu Riêng,20,3309650.0000000005,ST
113,Nov,2018,DTP-121,TGG004,Tiền Giang,TM,1.0,Fungicide,FY,Dưa hấu,20,3309650.0000000005,ST
114,Nov,2018,STG-101,DLK012,Đắk Lắk,E300,0.3333333333333333,Fungicide,HO,Sầu Riêng,100,41057550.0,ST
115,Nov,2018,LDG-227,LDG014,Lâm Đồng,Demo,2.0,Insecticide,DA,Sầu Riêng,10,3184420.0000000005,ST
116,Nov,2018,LDG-125,LDG014,Lâm Đồng,Demo,2.0,Insecticide,DA,Sầu Riêng,10,3184420.0000000005,ST
117,Nov,2018,LDG-066,LDG014,Lâm Đồng,Demo,2.0,Insecticide,DA,Sầu Riêng,10,3184420.0000000005,ST
118,Nov,2018,LDG-137,LDG014,Lâm Đồng,Demo,2.0,Insecticide,DA,Rau màu,10,3184420.0000000005,ST
119,Dec,2018,LDG-234,LDG014,Lâm Đồng,Demo,2.0,Insecticide,DA,Sầu Riêng,10,3184420.0000000005,ST
120,Dec,2018,LDG-204,LDG014,Lâm Đồng,Demo,2.0,Insecticide,DA,Sầu Riêng,10,3184420.0000000005,ST
121,Dec,2018,LDG-196,LDG014,Lâm Đồng,Demo,2.0,Insecticide,DA,Sầu Riêng,10,3184420.0000000005,ST
122,Dec,2018,LDG-235,LDG014,Lâm Đồng,Demo,2.0,Insecticide,DA,Sầu Riêng,10,3184420.0000000005,ST
123,Nov,2018,LDG-235,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
124,Nov,2018,LDG-235,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
125,Nov,2018,LDG-227,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
126,Nov,2018,LDG-227,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
127,Dec,2018,LDG-066,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
128,Dec,2018,LDG-066,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
129,Dec,2018,LDG-137,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Rau màu,5,447250.00000000006,ST
130,Dec,2018,LDG-137,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Rau màu,5,447250.00000000006,ST
131,Jan,2018,LDG-196,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
132,Jan,2018,LDG-196,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
133,Jan,2018,LDG-118,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
134,Jan,2018,LDG-118,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
135,Feb,2018,LDG-051,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
136,Feb,2018,LDG-051,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
137,Feb,2018,LDG-232,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
138,Feb,2018,LDG-232,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
139,Mar,2018,LDG-204,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
140,Mar,2018,LDG-204,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
141,Mar,2018,LDG-234,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
142,Mar,2018,LDG-234,LDG014,Lâm Đồng,FA,5.0,Insecticide,DA,Sầu Riêng,5,447250.00000000006,ST
143,Dec,2018,LDG-204,LDG014,Lâm Đồng,TM,1.0,Insecticide,DA,Sầu Riêng,20,3309650.0000000005,ST
144,Dec,2018,LDG-125,LDG014,Lâm Đồng,TM,1.0,Insecticide,DA,Sầu Riêng,20,3309650.0000000005,ST
145,Dec,2018,LDG-227,LDG014,Lâm Đồng,TM,1.0,Insecticide,DA,Sầu Riêng,20,3309650.0000000005,ST
146,Dec,2018,LDG-066,LDG014,Lâm Đồng,TM,1.0,Insecticide,DA,Sầu Riêng,20,3309650.0000000005,ST
147,Dec,2018,LDG-196,LDG014,Lâm Đồng,TM,1.0,Insecticide,DA,Sầu Riêng,20,3309650.0000000005,ST
148,Dec,2018,LDG-137,LDG014,Lâm Đồng,TM,1.0,Insecticide,DA,Rau màu,20,3309650.0000000005,ST
